,artist,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
34,Duke Ellington,My Little Brown Book,0.514,0.0814,0,-17.149,0,0.0361,0.00873,0.219,0.232,64.97,323200,3
35,McCoy Tyner,When Sunny Gets Blue,0.427,0.114,2,-22.546,0,0.0509,0.863,0.0966,0.114,60.484,282320,4
36,Branford Marsalis,Gloomy Sunday,0.421,0.0967,7,-16.441,0,0.0509,0.415,0.218,0.183,77.401,763467,4
37,Eric Reed,Up Jumped Spring,0.389,0.169,10,-14.333,1,0.0453,0.0781,0.114,0.186,77.79,528947,3
38,Jan Harbeck Quartet,Lighter Shades,0.508,0.162,7,-12.7,0,0.0302,0.418,0.101,0.38,71.541,348253,4
39,Emil Brandqvist Trio,I Miss You,0.446,0.188,7,-17.215,0,0.0303,0.0916,0.104,0.0988,107.147,258227,4
40,Andy Sheppard Quartet,Romaria,0.38,0.054,7,-21.941,1,0.037,0.684,0.151,0.181,134.175,311480,3
41,Phil Woods,Blue Ballad,0.47,0.156,2,-17.036,1,0.0399,0.187,0.104,0.059,118.176,394920,4
42,Jacky Terrasson,Sous Le Ciel De Paris,0.323,0.118,5,-22.751,0,0.0449,0.694,0.241,0.0747,79.554,244867,4
43,Alfio Origlio,Absyrations,0.419,0.184,0,-21.864,1,0.0307,0.628,0.0919,0.155,110.186,344053,4
44,Kendrick Scott Oracle,>>>>>>Becoming,0.349,0.123,1,-14.247,1,0.0333,0.375,0.275,0.138,45.646,292413,4
45,Chet Baker,Polka Dots And Moonbeams,0.476,0.19,2,-17.266,0,0.0432,0.733,0.588,0.249,109.795,588760,4
46,David Hazeltine,I'll Let You Know,0.442,0.124,3,-22.227,1,0.0388,0.605,0.21,0.2,65.003,408600,4
47,Miles Davis,Blue in Green,0.421,0.0161,2,-25.358,0,0.0374,0.0021,0.0978,0.16,110.926,337733,4
48,Lou Donaldson,Autumn Nocturne,0.539,0.0678,0,-18.039,1,0.0468,0.168,0.114,0.263,124.105,294667,4
49,Teddy Wilson,Fools Rush In,0.633,0.12,5,-20.066,0,0.0428,0.871,0.121,0.456,115.51,149072,3
50,Gene Ammons,My Romance - Rudy Van Gelder Remaster,0.519,0.0422,1,-10.778,1,0.0537,0.929,0.124,0.397,130.436,252947,3
51,Stan Getz,A Nightingale Sang In Berkeley Square,0.407,0.106,1,-19.078,1,0.0375,0.0762,0.123,0.233,94.231,418000,4
52,Oscar Peterson Trio,I Got It Bad And That Ain't Good,0.515,0.0551,2,-27.383,0,0.0477,0.915,0.0878,0.176,50.658,306173,4
53,Esbjörn Svensson Trio,Where We Used To Live,0.421,0.0867,0,-18.732,1,0.037,0.429,0.115,0.07,95.438,265320,4
54,Joey Alexander,Draw Me Nearer,0.698,0.214,7,-15.785,1,0.0378,0.893,0.112,0.172,121.769,282387,4
55,Beegie Adair,Can't Help Loving,0.533,0.148,0,-18.275,1,0.0329,0.932,0.112,0.108,63.637,221733,4
56,Helge Lien Trio,Popkoral,0.367,0.116,5,-21.437,1,0.0336,0.832,0.104,0.188,134.488,267358,4
57,Cyrus Chestnut,Darn That Dream,0.418,0.0872,7,-24.547,1,0.0354,0.898,0.108,0.14,148.264,305565,3
58,Renee Rosnes,The Winter of My Discontent,0.487,0.259,2,-12.391,0,0.0386,0.778,0.0957,0.108,111.218,440513,4
59,Tommy Flanagan,Naima,0.437,0.0375,10,-28.282,0,0.0403,0.692,0.114,0.126,117.153,302240,4
60,European Jazz Trio,Sad Tune,0.518,0.0493,9,-26.565,0,0.0346,0.879,0.349,0.16,61.908,375094,4
61,Bob Brookmeyer,Who Could Care,0.336,0.0937,0,-20.317,1,0.0414,0.0123,0.145,0.0992,90.587,286067,4
62,Walt Weiskopf,Soul Eyes,0.539,0.207,8,-16.498,1,0.0458,0.636,0.222,0.259,122.03,498320,4
63,John Moulder,Soul in Twilight,0.4,0.144,10,-15.52,1,0.037,0.878,0.119,0.146,120.329,364627,4
64,The Hot Sardines,Gramercy Sunset,0.454,0.084,0,-18.621,1,0.0293,0.936,0.0958,0.0828,87.816,255107,4
65,Joshua Redman,The Nearness of You,0.447,0.163,8,-14.835,1,0.0707,0.776,0.654,0.197,74.933,1004627,3
66,Bob Berg,All The Way,0.423,0.158,0,-15.59,0,0.0346,0.0075,0.0975,0.185,106.974,335333,4
67,Nicholas Payton,The Last Goodbye,0.32,0.156,2,-12.258,1,0.033,0.904,0.0775,0.0664,159.618,325400,3
68,Fred Hersch Trio,Infant Eyes,0.429,0.118,10,-19.942,0,0.039,0.569,0.298,0.172,112.864,457268,3
69,Joe Lovano,Seeds Of Change,0.336,0.0452,8,-20.593,0,0.033,0.086,0.16,0.219,87.25,313693,4
70,Tord Gustavsen Trio,Curves,0.515,0.0283,9,-28.954,1,0.0402,0.927,0.0906,0.0886,100.598,379533,4
71,Bill Charlap Trio,Spring Can Really Hang You Up The Most,0.386,0.0481,2,-25.336,0,0.04,0.852,0.101,0.0714,148.305,474787,3
72,Courtney Pine,How Many More,0.403,0.307,5,-13.426,1,0.0357,0.124,0.143,0.371,119.845,387450,4
73,Charles Mingus,Goodbye Pork Pie Hat,0.356,0.0937,8,-16.64,0,0.0353,0.096,0.209,0.278,86.669,342373,3
74,Seamus Blake,Count Your Blessings,0.446,0.242,8,-14.152,1,0.0368,0.497,0.105,0.171,126.681,492080,4
75,Wynton Marsalis,Where or When,0.326,0.0575,4,-16.5,1,0.0393,0.887,0.281,0.301,127.397,168667,5
76,Scott Hamilton,Good Morning Heartache,0.526,0.17,9,-13.089,0,0.0411,0.777,0.114,0.18,117.414,322133,4
77,Mulgrew Miller,It Never Entered my Mind,0.445,0.223,3,-17.402,1,0.0374,0.884,0.131,0.225,110.821,391707,4
78,Bill Charlap,The Nearness Of You,0.383,0.131,7,-17.764,1,0.033,0.194,0.0973,0.101,98.606,447280,4
79,Various Artists,Blue and Sentimental,0.484,0.0291,10,-23.363,1,0.0459,0.474,0.115,0.379,98.434,389893,4
80,Lee Morgan,I Remember Clifford,0.368,0.14,0,-15.005,0,0.045,0.874,0.0688,0.172,61.758,428973,4
81,Various Artists,Old Folks,0.458,0.217,5,-16.582,1,0.0328,0.805,0.194,0.128,107.506,482187,4
82,Walt Weiskopf,Soultrane,0.546,0.101,5,-15.582,0,0.0482,0.416,0.119,0.27,114.105,323697,4
83,Karin Hammar,Uphill,0.427,0.0445,8,-18.994,1,0.0381,0.902,0.112,0.153,117.815,241200,3
84,Yuri Honing Acoustic Quartet,After All,0.433,0.217,9,-13.799,1,0.0343,0.714,0.096,0.179,105.96,322080,3
85,Joran Cariou Trio,La fin justifie les moyens,0.459,0.204,3,-16.941,0,0.0365,0.905,0.0969,0.1,108.573,433787,3
86,Stanley Turrentine,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,0.505,0.159,7,-11.235,0,0.0336,0.0127,0.212,0.196,59.385,295200,4
87,Aaron Goldberg,When You Are Near,0.409,0.0777,9,-23.493,0,0.0408,0.866,0.0979,0.088,106.333,502620,4
88,Fredrik Kronkvist,Theme For Ernie,0.445,0.144,1,-17.051,1,0.0367,0.664,0.164,0.206,138.898,304293,5
89,Rolf Kühn,What Are You Doing the Rest of Your Life?,0.49,0.114,7,-12.566,0,0.0359,0.262,0.124,0.15,97.158,476992,4
90,Echoes of Swing,On a Turquoise Cloud,0.347,0.151,1,-13.445,1,0.0321,0.958,0.13,0.087,70.602,228404,4
91,Massimo Colombo,I'll Keep Loving You,0.487,0.12,10,-20.964,1,0.04,0.853,0.0996,0.131,56.822,314763,4
92,Aldo Romano,Song for Ellis,0.401,0.209,1,-17.161,0,0.0308,0.853,0.0905,0.075,72.415,265527,3
93,Charles Lloyd,How Can I Tell You - Live,0.385,0.3,3,-12.746,1,0.0362,0.374,0.769,0.253,90.703,586186,4
94,Trio X of Sweden,Vid Frösö kyrka - From Frösöblomster,0.535,0.107,10,-18.989,0,0.0323,0.649,0.105,0.16,102.186,297653,4
95,Nestor Torres,So in Love,0.343,0.307,1,-14.526,1,0.0521,0.467,0.664,0.186,78.165,505032,4
96,Ben Wolfe,So Lovely,0.296,0.0709,3,-14.832,0,0.0312,0.804,0.105,0.0696,95.028,340507,4
97,Bill Charlap,"I Was So Young, And You Were So Beautiful",0.317,0.0302,1,-30.447,1,0.0342,0.298,0.0792,0.165,47.859,234373,4
98,Bill Mobley,I'm Glad There Is You,0.55,0.249,5,-15.919,0,0.0325,0.828,0.258,0.296,121.37,484627,4
99,Danny Grissett,Two Sleepy People,0.445,0.0978,3,-26.924,1,0.0397,0.915,0.121,0.173,117.283,396520,4
