,artist,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
41,AC/DC,Highway to Hell,0.574,0.913,6,-4.793,0,0.133,0.00158,0.156,0.423,115.728,208400,4
42,Stevie Nicks,Edge of Seventeen - 2016 Remaster,0.591,0.804,0,-7.299,1,0.0454,5.98e-06,0.0818,0.658,111.457,329413,4
43,Joan Jett & The Blackhearts,I Hate Myself for Loving You,0.611,0.883,9,-11.225,1,0.0539,1.2e-06,0.192,0.604,117.928,246800,4
44,Queen,Bohemian Rhapsody - Remastered 2011,0.414,0.404,0,-9.928,0,0.0499,0.0,0.3,0.224,71.105,354320,4
45,Cream,White Room,0.55,0.576,0,-13.475,1,0.0306,0.00935,0.0555,0.486,109.837,303200,4
46,John Fogerty,Fortunate Son,0.636,0.746,0,-3.785,1,0.0393,0.29,0.173,0.432,132.31,138053,4
47,Derek & The Dominos,Layla - 40th Anniversary Version / 2010 Remastered,0.404,0.903,1,-3.88,1,0.0668,0.297,0.287,0.498,115.672,423840,4
48,Don McLean,American Pie,0.531,0.481,4,-11.709,0,0.06,0.0,0.0842,0.491,138.45,516893,4
49,Bob Dylan,Hurricane,0.509,0.827,0,-7.715,1,0.079,0.0,0.12,0.743,135.601,512733,4
50,Black Sabbath,Paranoid,0.426,0.619,4,-11.501,0,0.0722,0.00239,0.17,0.382,162.721,168440,4
51,Deep Purple,Smoke on the Water,0.632,0.586,0,-11.333,1,0.0284,0.581,0.0535,0.89,114.243,342173,4
52,T. Rex,Bang a Gong (Get It On) - Remastered Version,0.729,0.818,2,-9.992,1,0.0732,0.285,0.195,0.907,125.811,267000,4
53,The Knack,My Sharona,0.586,0.7,0,-9.558,1,0.0363,0.00125,0.0318,0.897,147.245,295400,4
54,The Byrds,Turn! Turn! Turn! (To Everything There Is a Season),0.452,0.818,2,-8.124,1,0.0439,2.72e-05,0.052,0.755,124.474,229360,4
55,Grateful Dead,Casey Jones - 2013 Remaster,0.671,0.405,0,-10.052,1,0.0392,0.0,0.132,0.828,99.678,265067,4
56,Led Zeppelin,Immigrant Song - Remaster,0.564,0.932,11,-10.068,1,0.0554,0.169,0.349,0.619,112.937,146250,4
57,AC/DC,Dirty Deeds Done Dirt Cheap,0.668,0.906,11,-4.881,0,0.17,0.00245,0.135,0.507,135.653,231933,4
58,Van Halen,Jump - 2015 Remaster,0.572,0.835,0,-6.219,1,0.0317,0.000376,0.0702,0.796,129.994,241600,4
59,Mötley Crüe,Kickstart My Heart,0.361,0.97,7,-4.817,0,0.284,0.00163,0.357,0.254,179.017,282920,4
60,Journey,Don't Stop Believin',0.5,0.748,4,-9.072,1,0.0363,0.0,0.447,0.514,118.852,250987,4
61,Bruce Springsteen,Born in the U.S.A.,0.398,0.952,4,-6.042,1,0.061,7.75e-05,0.1,0.584,122.093,278680,4
62,Depeche Mode,Personal Jesus - Original Single Version,0.637,0.682,11,-11.625,1,0.0366,0.0234,0.0473,0.714,129.983,224907,4
63,The Clash,London Calling - Remastered,0.651,0.801,0,-7.34,1,0.0513,0.0,0.0825,0.776,133.763,200480,4
64,Kansas,Carry on Wayward Son,0.482,0.786,7,-5.735,1,0.032,8.88e-05,0.446,0.793,126.755,323000,4
65,Creedence Clearwater Revival,Have You Ever Seen The Rain,0.741,0.697,0,-7.028,1,0.0277,2.28e-05,0.133,0.774,116.109,160133,4
66,The Beatles,Back In The U.S.S.R. - 2018 Mix,0.51,0.893,9,-9.267,1,0.0342,5.85e-05,0.201,0.934,142.657,163467,4
67,The Kinks,You Really Got Me,0.567,0.959,8,-3.822,1,0.102,6.07e-05,0.1,0.961,137.377,133933,4
68,Pretenders,Back on the Chain Gang - 2007 Remaster,0.598,0.901,2,-6.081,1,0.0359,0.0401,0.178,0.814,153.24,231120,4
69,Supertramp,Give A Little Bit,0.531,0.818,2,-5.358,1,0.0452,0.0096,0.263,0.471,90.767,248173,4
70,The Doors,Riders on the Storm,0.549,0.722,11,-11.729,0,0.0283,0.0138,0.11,0.716,103.885,434720,4
71,Guns N' Roses,Sweet Child O' Mine,0.454,0.91,6,-7.766,1,0.0448,0.0996,0.116,0.629,125.116,354520,4
72,Tom Petty,Free Fallin',0.623,0.449,5,-13.333,1,0.0253,0.0,0.0613,0.572,84.383,256000,4
73,Ozzy Osbourne,Crazy Train,0.453,0.905,9,-4.001,1,0.115,0.000569,0.26,0.474,137.571,296200,4
74,The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version,0.723,0.863,2,-7.89,1,0.0338,0.0317,0.128,0.931,136.302,222813,4
75,Heart,Barracuda,0.547,0.691,4,-13.553,0,0.0369,0.105,0.144,0.667,137.148,261933,4
76,Kansas,Dust in the Wind,0.475,0.322,7,-10.687,1,0.0283,0.00056,0.11,0.387,93.503,206267,4
77,Aerosmith,Walk This Way,0.629,0.785,5,-10.761,1,0.0471,9.45e-06,0.0522,0.869,108.531,211027,4
78,Bad Company,Feel like Makin' Love - 2015 Remaster,0.543,0.529,7,-9.717,1,0.0301,0.00269,0.709,0.746,85.126,313840,4
79,Ted Nugent,Stranglehold,0.484,0.711,2,-7.784,1,0.0331,0.173,0.0941,0.49,148.189,503067,4
80,AC/DC,T.N.T.,0.754,0.759,9,-5.218,1,0.302,0.000108,0.101,0.435,126.366,214667,4
81,Bon Jovi,Livin' On A Prayer,0.534,0.887,0,-3.777,1,0.0345,9.93e-05,0.325,0.72,122.494,249293,4
82,The Hollies,Long Cool Woman (In a Black Dress) - 1999 Remaster,0.757,0.868,9,-9.326,1,0.062,0.00221,0.355,0.815,138.923,199200,4
83,Eagles,Life in the Fast Lane - 2013 Remaster,0.667,0.755,9,-7.246,1,0.069,6.94e-05,0.0523,0.883,109.535,286220,4
84,The Rolling Stones,Gimme Shelter,0.63,0.616,1,-8.128,0,0.0309,0.0408,0.173,0.509,118.65,270773,4
85,Free,All Right Now,0.766,0.446,2,-13.079,1,0.0867,0.000704,0.318,0.743,119.774,332907,4
86,Lynyrd Skynyrd,Free Bird,0.279,0.852,7,-7.838,1,0.0511,0.076,0.0624,0.438,117.418,558933,4
87,AC/DC,You Shook Me All Night Long,0.532,0.767,7,-5.509,1,0.0574,0.000513,0.39,0.755,127.361,210173,4
88,Pink Floyd,Money - 2011 Remastered Version,0.469,0.537,9,-10.421,1,0.152,0.00201,0.269,0.783,124.193,382834,1
89,Guns N' Roses,Welcome To The Jungle,0.456,0.978,10,-4.869,0,0.112,0.499,0.313,0.327,123.411,271867,4
90,David Bowie,Let's Dance - 1999 Remaster,0.619,0.703,10,-9.414,0,0.0525,0.205,0.163,0.709,115.043,457133,4
91,Cream,Sunshine Of Your Love,0.691,0.592,2,-8.089,1,0.0366,3.29e-05,0.124,0.736,115.152,250400,4
92,Queen,We Will Rock You - Remastered,0.693,0.497,2,-7.316,1,0.119,0.0,0.258,0.473,81.308,122067,4
93,The Who,Pinball Wizard,0.543,0.715,2,-8.89,1,0.0356,0.0,0.256,0.468,124.011,180943,4
94,The Rolling Stones,Beast Of Burden - Remastered,0.786,0.87,1,-3.875,0,0.0316,0.000494,0.0389,0.864,100.66,265173,4
95,Talking Heads,Once in a Lifetime - 2005 Remaster,0.644,0.919,2,-6.289,1,0.0561,0.134,0.622,0.871,117.459,259907,4
96,Boston,Peace of Mind,0.421,0.677,4,-6.183,1,0.0343,9.65e-05,0.211,0.683,127.67,303587,4
97,Black Sabbath,Iron Man - 2012 - Remaster,0.336,0.792,9,-10.875,1,0.084,0.00175,0.0437,0.427,155.587,355304,4
98,The Doobie Brothers,Listen to the Music,0.645,0.598,1,-13.18,0,0.0335,3.53e-06,0.0721,0.913,105.929,227267,4
99,The Rolling Stones,Wild Horses - 2009 Mix,0.432,0.389,7,-6.517,1,0.0255,0.0107,0.0788,0.158,139.506,341773,4
